Pathway,name,value
Ketosis,CHURC1-FNTB,1
Ketosis,RCE1,1
Ketosis,ICMT,1
Ketosis,PCYOX1,1
Ketosis,ZMPSTE24,1
Ketosis,PLAAT3,1
Ketosis,ELOVL6,1
Ketosis,ELOVL1,1
Ketosis,ELOVL5,1
Ketosis,FADS1,1
Ketosis,ELOVL4,1
Various-Metabolites,PAH,1
Various-Metabolites,HPD,1
Various-Metabolites,MIF,1
Various-Metabolites,PNMT,1
Various-Metabolites,DBH,1
Various-Metabolites,FAHD1,1
Various-Metabolites,GSTZ1,1
Various-Metabolites,HGD,1
Various-Metabolites,FAH,1
Various-Metabolites,NPC1L1,1
Various-Metabolites,CEL,1
Various-Metabolites,MOGAT3,1
Various-Metabolites,DGAT2,1
Various-Metabolites,MTTP,1
Various-Metabolites,CLPS,1
Various-Metabolites,FABP2,1
Various-Metabolites,GOT2,1
Glycogenesis,CXCR6,1
Glycogenesis,CCL26,1
Glycogenesis,FGR,1
Glycogenesis,ELMO1,1
Glycogenesis,GRK7,1
Glycogenesis,ITK,1
Glycogenesis,WAS,1
Glycogenesis,DOCK2,1
Glycogenesis,PREX1,1
Glycogenesis,GPR161,1
Glycogenesis,CUL1,1
