Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
CYP2C8,BP,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP",BP,BP,BP,"BP, WP",BP,BP,BP,
DKK1,BP,"WP, KEGG, BP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP",,BP,KEGG,"BP, WP",BP,BP,BP,"KEGG, WP"
EIF3H,,WP,WP,WP,"BP, WP","KEGG, WP",,,BP,WP,,,,
ELK1,"KEGG, BP","WP, BP, KEGG","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP","KEGG, BP",,,"KEGG, BP, WP",BP,BP,BP,"KEGG, BP, WP"
ERN1,,"WP, KEGG, BP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",WP,BP,,,"KEGG, BP, WP"
ETS1,,"WP, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,,,WP,BP,BP,BP,"KEGG, BP, WP"
EWSR1,,"WP, BP","BP, WP",WP,"BP, WP","BP, WP",,,BP,WP,,,BP,KEGG
EZR,BP,"WP, KEGG, BP","KEGG, WP",WP,"BP, WP","BP, WP",,,,WP,,,BP,
FADD,,"WP, BP, KEGG","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP",WP,WP,,"BP, WP","KEGG, BP, WP"
FAF1,,"WP, BP","KEGG, BP, WP",WP,"BP, WP","BP, WP",KEGG,,BP,WP,,,BP,
FBXW11,,"WP, KEGG","BP, WP",WP,WP,"BP, KEGG, WP","BP, WP",,,WP,"BP, WP",,,
FOXO4,BP,WP,"BP, WP",WP,"BP, WP","BP, WP",BP,,,WP,BP,,,"KEGG, BP, WP"
FYN,BP,"WP, BP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",WP,BP,KEGG,"BP, WP","BP, WP",BP,BP,"BP, KEGG, WP"
GAB1,BP,"WP, BP","KEGG, BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP",BP,BP,,"BP, WP","BP, WP",BP,,"KEGG, BP, WP"
GPC1,BP,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",BP,BP,BP,"BP, WP",BP,BP,"KEGG, BP",
HDAC5,BP,"WP, BP","KEGG, WP",WP,"BP, WP","BP, WP",,,,WP,,,,"BP, WP"
HSPB1,,"WP, BP",WP,WP,WP,"BP, WP",WP,,,WP,WP,,"BP, KEGG, WP",WP
ICAM1,,"WP, BP","KEGG, BP, WP","BP, WP","BP, WP","BP, KEGG, WP",WP,BP,,WP,"BP, WP",BP,"KEGG, WP","BP, WP"
ITCH,,"WP, KEGG, BP",WP,WP,"KEGG, WP","KEGG, BP, WP",,,"KEGG, WP","BP, WP",,,,BP
JAG1,,"WP, BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",,BP,,"BP, WP",BP,BP,BP,BP
KCNC3,,WP,"BP, WP",WP,WP,WP,,,,WP,,,,"KEGG, BP"
MAPKAPK2,,"WP, BP, KEGG","BP, WP",WP,WP,"KEGG, BP, WP",,,,WP,BP,BP,,BP
MMP2,,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP",WP,BP,"KEGG, BP",WP,"KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
MYO6,,"WP, KEGG","BP, WP",WP,WP,WP,,,,WP,,,,BP
NCF1,,"WP, KEGG","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP",WP,,KEGG,WP,"KEGG, BP, WP",,"KEGG, WP","KEGG, WP"
NCF2,,"WP, KEGG","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",WP,,KEGG,WP,"BP, KEGG, WP",,"KEGG, WP","KEGG, WP"
NCK1,BP,"WP, KEGG, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",BP,BP,,"BP, WP",BP,BP,BP,"BP, WP"
NCL,,"WP, BP, KEGG","BP, WP",WP,"BP, WP","BP, WP",,BP,BP,WP,,,BP,
NFATC1,,"WP, BP","KEGG, BP, WP",WP,"BP, WP","BP, KEGG, WP",WP,,BP,WP,,,BP,KEGG
NFATC2,,WP,WP,WP,WP,"BP, KEGG, WP",,,,WP,,,BP,
NFKBIA,"KEGG, BP","WP, KEGG, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,BP,"KEGG, BP, WP","BP, KEGG, WP",,"BP, WP","KEGG, BP, WP"
NR4A1,KEGG,"WP, BP","BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, WP",BP,BP,WP,"BP, WP",,"BP, WP","BP, WP"
NR4A3,,WP,WP,WP,"BP, WP","BP, WP",,BP,,WP,,,BP,KEGG
PAK1,BP,"WP, KEGG, BP","BP, WP",WP,"BP, WP","KEGG, BP, WP",,,,WP,BP,BP,BP,"BP, KEGG, WP"
PLCG1,BP,"WP, BP, KEGG","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
PNP,BP,"WP, BP, KEGG","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP",BP,BP,"BP, WP",BP,BP,BP,WP
PPP1CA,"KEGG, BP","WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, KEGG, WP"
PPP3CA,KEGG,"WP, KEGG, BP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",KEGG,,"KEGG, BP","KEGG, WP","KEGG, WP",,WP,"BP, KEGG, WP"
PRKCB,"KEGG, BP","WP, KEGG, BP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP"
PRKCD,BP,"WP, KEGG, BP","BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","BP, WP",,KEGG,"BP, WP","BP, WP",BP,WP,"KEGG, BP, WP"
PRKCE,"KEGG, BP","WP, BP","KEGG, BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP",,,"KEGG, WP","KEGG, BP",BP,,BP
PRKCI,"KEGG, BP","WP, KEGG, BP","BP, WP",WP,WP,"BP, KEGG, WP","KEGG, BP",,,"KEGG, BP, WP",,,,KEGG
PRKCZ,"KEGG, BP","WP, BP, KEGG","KEGG, BP, WP","KEGG, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP",KEGG,,"KEGG, BP",WP
PTK2B,,"WP, BP","BP, WP",WP,"BP, WP","BP, KEGG, WP",,,BP,WP,BP,BP,BP,"KEGG, BP, WP"
PTPN11,"KEGG, BP","WP, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
PTPN6,,"WP, BP, KEGG","BP, WP",WP,WP,"KEGG, BP, WP",,,,WP,BP,BP,BP,BP
PXN,,"WP, KEGG","BP, WP",WP,"BP, WP","BP, KEGG, WP",,,,WP,BP,,,"BP, WP"
RAB5A,BP,"WP, BP, KEGG","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,KEGG,WP,,,BP,"KEGG, BP, WP"
RAP1A,,"WP, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,,,"BP, WP",,,,"BP, KEGG, WP"
RCAN1,KEGG,"WP, KEGG, BP","KEGG, BP, WP","BP, WP","BP, WP","BP, KEGG, WP",,BP,,"BP, WP",BP,BP,BP,
RCAN2,KEGG,"WP, KEGG","KEGG, WP",WP,WP,"BP, KEGG, WP",,,,WP,,,,
RHOJ,BP,"WP, KEGG, BP","BP, WP",WP,WP,"BP, WP",BP,,,"BP, WP",,,,
RND1,BP,"WP, BP",WP,"BP, WP",WP,"KEGG, BP, WP",,,,WP,,,,
ROCK1,BP,"WP, KEGG, BP","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP",BP,,,"BP, WP",,,BP,"KEGG, BP"
ROCK2,BP,"WP, KEGG, BP","BP, WP",WP,WP,"BP, KEGG, WP",BP,,,"BP, WP",WP,,WP,"BP, WP"
S1PR1,KEGG,"WP, BP","BP, WP","BP, WP","BP, WP","BP, WP",KEGG,BP,,"BP, WP",BP,BP,BP,"BP, KEGG, WP"
SELE,,"WP, BP",WP,"BP, WP",WP,"BP, KEGG, WP",WP,,,WP,BP,,"KEGG, BP",
SLC7A1,BP,"WP, BP","BP, KEGG, WP",WP,WP,"BP, WP",BP,,,WP,BP,BP,,BP
SMARCA2,,WP,WP,WP,WP,"BP, KEGG, WP",,,,WP,WP,,,WP
SRF,BP,"WP, BP, KEGG","KEGG, BP, WP",WP,WP,"BP, WP",BP,WP,,"BP, WP",BP,BP,,BP
STIP1,BP,"WP, BP","BP, WP",WP,"KEGG, WP","KEGG, BP, WP",,,KEGG,WP,BP,BP,,"KEGG, BP"
TFAM,,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP",,,"KEGG, BP",WP,,,BP,"KEGG, BP"
TPP1,,WP,"BP, WP",WP,"BP, WP","BP, WP",,,,"KEGG, BP, WP",BP,,,
TRAF3IP2,,"WP, BP","BP, WP",WP,"BP, WP","KEGG, BP, WP",,,BP,WP,,,BP,
TRPC1,BP,"WP, BP","KEGG, WP",WP,WP,"KEGG, BP, WP",,,,WP,,,,"KEGG, BP"
TRPC3,BP,"WP, BP","BP, WP","KEGG, WP","KEGG, WP","BP, KEGG, WP",,,KEGG,WP,,,,"KEGG, BP, WP"
VCL,BP,"WP, KEGG, BP","BP, WP",WP,"BP, WP","KEGG, BP, WP",,,,WP,,,"KEGG, BP",WP
ARF1,BP,"WP, BP, KEGG","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,BP,BP,KEGG
ENPP1,BP,"WP, KEGG, BP","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP",BP,BP,BP,BP,"BP, WP","KEGG, BP, WP",
FOS,BP,"WP, KEGG, BP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
INPP4A,BP,"WP, BP, KEGG","BP, WP",BP,BP,"BP, WP",BP,BP,BP,BP,BP,BP,BP,
INPPL1,"KEGG, BP","WP, BP, KEGG","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP",BP,BP,"KEGG, BP",BP,BP,BP,BP
KIF3A,BP,"WP, BP","BP, WP",,,"KEGG, BP, WP",BP,,,BP,,"BP, WP",,
PTPRF,"KEGG, BP","WP, KEGG, BP","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP",BP,,"KEGG, BP, WP",BP,BP,BP,WP
SH2B2,"KEGG, BP","WP, BP, KEGG","BP, WP",,,"KEGG, BP, WP","KEGG, BP",,,"KEGG, BP, WP",,,,WP
STXBP1,BP,"WP, BP","BP, KEGG, WP",BP,,"BP, WP",BP,,,BP,,,,"BP, WP"
XBP1,BP,"WP, BP, KEGG","BP, WP",KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,,"KEGG, WP",BP,BP,BP,,"KEGG, BP, WP"
ACADS,BP,"WP, BP","KEGG, BP",BP,"KEGG, BP, WP","BP, WP","BP, WP",BP,BP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, BP","BP, WP",WP
ACADVL,BP,"WP, BP",BP,BP,"BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP",BP,
ACAT1,"KEGG, BP","WP, KEGG, BP","KEGG, BP, WP",BP,"KEGG, BP, WP",BP,BP,"KEGG, BP",BP,"BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",BP,
CRAT,BP,"WP, BP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP",BP,
GCDH,BP,"WP, BP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP",BP,
GK,"KEGG, BP","WP, BP",BP,BP,"BP, WP",BP,BP,BP,BP,BP,"KEGG, BP, WP","KEGG, BP",BP,
CASP8,,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP",WP,"BP, WP",BP,"BP, WP","KEGG, BP, WP"
CDIPT,BP,"WP, BP, KEGG",BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP,BP
MSN,BP,"WP, BP",,,,"KEGG, BP",,,,,,,,
REL,,"WP, BP","BP, WP",,BP,"BP, WP","BP, WP",,BP,"BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
SIAH1,BP,"WP, BP",,,,"KEGG, BP",,,,,,,,
TRAF2,"KEGG, BP","WP, KEGG","KEGG, BP, WP",KEGG,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP","KEGG, BP",,BP,"KEGG, WP"
TRAF6,,"WP, BP, KEGG",BP,,BP,"KEGG, BP, WP",WP,,BP,WP,WP,,"BP, WP",WP
UNC13B,,WP,"BP, KEGG, WP",,,,,,,,,,,BP
AMBRA1,,"WP, KEGG",KEGG,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,,,,,"KEGG, WP"
APAF1,,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","BP, WP",,"KEGG, BP",,,,BP,"KEGG, BP, WP"
APBB1,,"WP, BP, KEGG",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
APC2,,"WP, KEGG","KEGG, BP",KEGG,"KEGG, BP","BP, KEGG, WP",,,KEGG,,,,,"KEGG, WP"
APH1A,,"WP, KEGG, BP",,,"KEGG, BP","BP, KEGG, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
APOE,BP,"WP, KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP"
APP,,"WP, KEGG, BP","BP, WP",KEGG,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",WP,"BP, WP",BP,,"BP, KEGG, WP"
ARAF,"KEGG, BP","WP, KEGG, BP","KEGG, BP, WP",KEGG,"KEGG, BP","BP, KEGG, WP","KEGG, BP",,KEGG,"KEGG, BP",WP,,,"KEGG, BP, WP"
ATG13,,"WP, KEGG",KEGG,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,WP,,,,"KEGG, WP"
ATP2A1,"BP, KEGG","WP, KEGG, BP","KEGG, BP",KEGG,"KEGG, BP","KEGG, BP, WP",BP,,"KEGG, BP",,KEGG,,,"KEGG, BP, WP"
BACE1,,"WP, BP, KEGG",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
BRAF,BP,"WP, BP","BP, WP",,"KEGG, BP, WP","KEGG, BP, WP",BP,,,"BP, WP","BP, WP",,,"KEGG, BP, WP"
CACNA1C,BP,"WP, BP, KEGG","KEGG, BP","BP, WP","KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP"
CACNA1D,BP,"WP, KEGG, BP",BP,BP,BP,"KEGG, BP, WP","KEGG, BP",BP,BP,BP,BP,BP,BP,"BP, WP"
CALML6,"KEGG, BP","WP, KEGG, BP","KEGG, BP",KEGG,"KEGG, BP","KEGG, BP, WP","KEGG, BP",,"KEGG, BP","KEGG, BP",KEGG,,KEGG,"BP, KEGG, WP"
CAPN1,,"WP, KEGG, BP",KEGG,KEGG,"KEGG, BP","KEGG, BP, WP",KEGG,,"KEGG, BP",,,,BP,"KEGG, BP, WP"
CASP12,,"WP, BP, KEGG",,"KEGG, WP","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",WP,,,,"KEGG, BP, WP"
CASP7,,"WP, KEGG, BP","BP, WP",KEGG,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",,"KEGG, BP, WP",,,,BP,"KEGG, BP, WP"
CDK5,BP,"WP, KEGG, BP",BP,"KEGG, WP","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",WP,,,BP,"BP, KEGG, WP"
CDK5R1,BP,"WP, KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP","KEGG, BP, WP",,BP,"KEGG, BP","BP, WP",BP,BP,BP,"BP, KEGG, WP"
CSNK1A1L,,"WP, KEGG",,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,,,,,"KEGG, WP"
CSNK2A1,BP,"WP, KEGG, BP","BP, WP",KEGG,"KEGG, BP","BP, KEGG, WP","BP, WP",,KEGG,"BP, WP",BP,BP,,"KEGG, BP, WP"
EIF2AK2,,"WP, KEGG","KEGG, BP",,"KEGG, BP","BP, KEGG, WP",KEGG,,KEGG,,BP,,,"KEGG, WP"
EIF2S1,,"WP, BP, KEGG",BP,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",WP,BP,,BP,"KEGG, WP"
FZD10,,"WP, KEGG","KEGG, BP","KEGG, WP","KEGG, BP","KEGG, BP, WP",,,KEGG,,,,,"BP, KEGG, WP"
FZD3,,WP,"KEGG, BP",WP,BP,"KEGG, BP, WP",,,,,,,,"BP, WP"
GNAQ,"KEGG, BP","WP, KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP","BP, KEGG, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
GRIN2A,,"WP, BP","BP, WP","BP, WP","BP, WP","KEGG, BP, WP",,,BP,,WP,,,"BP, KEGG, WP"
GRIN2B,,"WP, BP","BP, WP","BP, WP",BP,"BP, WP",WP,,BP,WP,WP,,WP,"BP, KEGG, WP"
HSD17B10,BP,"WP, BP, KEGG",BP,"KEGG, BP","KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP",BP,"KEGG, BP","KEGG, BP",BP,"KEGG, BP, WP"
IDE,,"WP, BP, KEGG",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
ITPR1,"KEGG, BP","WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, BP","KEGG, BP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP"
ITPR3,BP,"WP, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP","BP, WP",BP,BP,"KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP"
KIF5A,,"WP, BP",BP,,,"KEGG, BP, WP",,,,,,,,"KEGG, WP"
KLC3,,"WP, BP, KEGG","KEGG, BP",KEGG,KEGG,"KEGG, BP, WP",,,KEGG,,,,,"KEGG, WP"
LRP1,,"WP, KEGG, BP",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,BP,"KEGG, BP, WP"
LRP6,,"WP, KEGG",KEGG,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,,,,,"KEGG, WP"
MAPT,,"WP, KEGG, BP",BP,KEGG,"KEGG, BP","BP, KEGG, WP",,,"KEGG, BP",WP,BP,BP,BP,"KEGG, BP, WP"
MIR34B,,WP,"KEGG, WP",WP,,"BP, WP",,,,,,,,"BP, WP"
MIR34C,,WP,"KEGG, WP",WP,,"BP, WP",WP,,,,,,,"BP, WP"
MME,,"WP, KEGG, BP",BP,BP,"KEGG, BP","KEGG, BP, WP",,BP,"KEGG, BP",BP,BP,BP,BP,"KEGG, BP, WP"
"NAE1",,"WP, BP, KEGG",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
NCSTN,,"WP, KEGG, BP",,,"KEGG, BP","BP, KEGG, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
NOX1,,WP,"BP, WP","BP, WP",,WP,"BP, WP",,,WP,WP,,"KEGG, WP",WP
PPID,,"WP, KEGG",KEGG,"KEGG, BP","KEGG, BP","KEGG, WP",KEGG,,"KEGG, BP",,,,,"BP, KEGG, WP"
PSEN1,,"WP, KEGG, BP",,KEGG,"KEGG, BP","BP, KEGG, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
PSENEN,,"WP, KEGG, BP",,,"KEGG, BP","BP, KEGG, WP",,,"KEGG, BP",,,,,"KEGG, BP, WP"
PSMA8,,"WP, KEGG","KEGG, BP",KEGG,"KEGG, BP","BP, KEGG, WP",,BP,KEGG,,BP,,BP,"KEGG, WP"
PSMC1,,"WP, KEGG",BP,,BP,"BP, KEGG, WP",,BP,,,BP,,BP,WP
PSMD14,,"WP, KEGG","KEGG, BP",KEGG,"KEGG, BP","BP, KEGG, WP",,BP,KEGG,,BP,,BP,"KEGG, WP"
RB1CC1,,"WP, KEGG",KEGG,KEGG,KEGG,"BP, KEGG, WP",,,KEGG,WP,,,,"KEGG, WP"
RYR3,,"WP, KEGG, BP",,,"KEGG, BP","KEGG, BP, WP",,,"KEGG, BP",,,,,"BP, KEGG, WP"
SNCA,,"WP, KEGG, BP",BP,KEGG,"KEGG, BP","KEGG, BP, WP",WP,,"KEGG, BP",,BP,,,"KEGG, BP, WP"
TNFRSF1A,"KEGG, BP","WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP"
TUBA1B,,"WP, KEGG",KEGG,KEGG,"KEGG, BP","KEGG, WP",,,"KEGG, BP",,,,,"BP, KEGG, WP"
TUBB3,,"WP, KEGG",KEGG,KEGG,"KEGG, BP","KEGG, BP, WP",,"BP, WP","KEGG, BP",,,,,"KEGG, BP, WP"
VDAC1,,"WP, BP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP","KEGG, BP, WP",KEGG,,"KEGG, BP",,,,BP,"KEGG, BP, WP"
VDAC2,,WP,,BP,BP,WP,,,BP,,"KEGG, WP",,,"BP, WP"
VDAC3,,"WP, KEGG",,BP,BP,WP,,,BP,,WP,,,"BP, WP"
BMPR1A,,WP,,,,"BP, KEGG, WP",WP,,,WP,,"BP, WP",KEGG,BP
BOC,BP,"WP, BP",,,,"KEGG, BP, WP",WP,,,,,,,
CTBP1,,"WP, BP","KEGG, BP",BP,"KEGG, BP","BP, KEGG, WP",WP,BP,,BP,BP,BP,BP,
ELOVL2,BP,"WP, BP",BP,BP,BP,"BP, WP","BP, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
ELOVL4,BP,"WP, BP",BP,BP,BP,"BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP","KEGG, BP, WP",BP,
FOXA2,BP,"WP, BP, KEGG",,,,"BP, WP","BP, WP",WP,,WP,BP,BP,,
GLB1,BP,"WP, KEGG, BP",BP,BP,BP,"KEGG, BP, WP","KEGG, BP, WP",BP,BP,"BP, KEGG","BP, WP",BP,BP,
GLI3,,WP,BP,,BP,"BP, WP",WP,,,,,"BP, WP",,KEGG
JUP,,"WP, BP","KEGG, BP",BP,"KEGG, BP","KEGG, BP, WP",WP,BP,,"BP, WP",BP,BP,BP,"KEGG, BP"
NLK,"KEGG, BP","WP, BP",,,BP,"BP, KEGG, WP","KEGG, WP",,,WP,,,,KEGG
PAX3,,WP,,,,"BP, WP",WP,"BP, WP",,WP,,,,KEGG
PAX6,BP,"WP, BP, KEGG",BP,BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,
PI4KA,BP,"WP, BP, KEGG",BP,BP,BP,"BP, WP","BP, WP","BP, WP",BP,BP,BP,BP,BP,
PIM1,,"WP, BP","KEGG, BP",BP,BP,"BP, WP",WP,BP,BP,BP,BP,BP,BP,BP
RGMA,BP,"WP, BP",,,,"KEGG, BP, WP",WP,,,,,,WP,WP
SERPINB6,,WP,,,,WP,WP,,,,,,"BP, KEGG",
SKIL,,"WP, BP",BP,BP,BP,"KEGG, BP, WP",WP,BP,,BP,BP,BP,BP,
SPRY2,,WP,"KEGG, BP",,BP,"BP, WP",WP,,,,BP,,BP,
TBL1X,BP,"WP, BP",,,BP,"KEGG, BP, WP",WP,,,BP,BP,BP,,WP
ZBTB16,,"WP, BP",BP,,BP,"BP, WP",WP,,,,BP,BP,,"KEGG, BP"
ADIPOR1,"BP, KEGG","WP, KEGG","KEGG, BP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,,
COX4I1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX5A,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX5B,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX6A1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX6B2,BP,"WP, BP, KEGG","KEGG, BP","KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",BP,"KEGG, BP",BP,BP,"KEGG, BP"
COX6C,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,"BP, WP",BP,BP,BP
COX7A1,BP,"WP, BP",,BP,"BP, KEGG, WP","BP, WP",,,"KEGG, BP, WP",,,,,BP
COX7B,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX7C,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
COX8A,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
CYC1,BP,"WP, BP",BP,BP,"KEGG, BP, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
CYP2E1,BP,"WP, KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,
LEPR,"BP, KEGG","WP, KEGG, BP","KEGG, BP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP",BP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,BP,"KEGG, BP"
NDUFA1,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
NDUFA10,BP,"WP, BP",BP,BP,"BP, KEGG, WP","BP, WP",BP,BP,"KEGG, BP, WP",BP,BP,BP,BP,BP
