Gene,Gluconeogenesis,Glycolysis,Lactate-Shuttle,HMP-Shunt-Glutathione,TCA,Glycogenesis,Glycogenolysis,Various-Metabolites,ETC,FA-Synthesis,FA-Oxidation,Ketosis,Urea-Cycle,Glutamate-Receptors
MAP3K2,"WP, BP","BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,"KEGG, BP, WP"
MAP3K3,"WP, BP","BP, WP","KEGG, BP, WP",,BP,"KEGG, BP, WP","BP, WP",BP,,"BP, WP",,,,
MAP3K5,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","BP, WP",BP,"KEGG, WP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP"
MAP3K7,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",,BP,"KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP","KEGG, WP",,"BP, KEGG, WP","BP, WP"
MAP3K8,"WP, BP","BP, WP","BP, WP",,BP,"KEGG, BP, WP","BP, WP",,BP,"BP, WP",,,BP,
MAPK1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, BP","KEGG, BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
MAPK14,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP","BP, WP","KEGG, BP, WP",BP,"KEGG, BP","KEGG, BP, WP"
MAPK7,"WP, BP","BP, WP","KEGG, BP, WP",BP,BP,"BP, KEGG, WP","BP, WP",BP,,"BP, WP",BP,BP,"KEGG, BP","KEGG, BP, WP"
MAPK8,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"BP, KEGG","KEGG, BP, WP"
MAPKAP1,WP,WP,"BP, WP",WP,"BP, WP","BP, KEGG, WP",WP,,,WP,BP,,,BP
MLST8,"WP, KEGG",WP,"BP, WP",WP,"KEGG, BP, WP","BP, KEGG, WP","KEGG, WP",,KEGG,WP,"KEGG, BP, WP",,,"BP, WP"
MTOR,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP","BP, WP",BP,"KEGG, BP, WP"
NR1H3,"WP, KEGG, BP","KEGG, WP","KEGG, WP",WP,"KEGG, WP","KEGG, WP","KEGG, WP",,"KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",WP,WP
PDPK1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,"KEGG, BP, WP"
PIK3C2A,"WP, BP","BP, KEGG, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"BP, WP",BP,BP,BP,
PIK3C3,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","BP, WP","BP, WP",BP,BP,"KEGG, WP"
PIK3CA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP","KEGG, BP, WP"
PIK3R1,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, WP","BP, WP",BP,"BP, WP","BP, WP"
PIK3R4,"WP, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP","KEGG, BP","BP, KEGG, WP","BP, WP",BP,"KEGG, BP","BP, WP",BP,BP,BP,"KEGG, WP"
PRKAA1,"WP, KEGG, BP","BP, WP","BP, WP",WP,WP,"KEGG, BP, WP","KEGG, BP, WP",WP,WP,"BP, WP","BP, WP","BP, WP","KEGG, WP",WP
PRKAG2,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","BP, WP","KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP",,"KEGG, WP"
PTPN1,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",WP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",KEGG,,,BP
RAF1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP","KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP","BP, WP",,"BP, WP","BP, WP",BP,"BP, WP","KEGG, BP, WP"
RAPGEF1,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","BP, KEGG, WP",,,"KEGG, BP, WP",,,,"KEGG, BP"
RHEB,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, WP",,,"KEGG, WP"
RHOQ,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",,,"BP, KEGG, WP","KEGG, BP, WP",,,"KEGG, BP, WP",,,,
RICTOR,WP,WP,"BP, WP",WP,"BP, WP","BP, KEGG, WP",WP,,,WP,BP,,,
RPS6KA5,"WP, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP","BP, WP",,,"BP, WP",,,,"KEGG, WP"
RPS6KA6,"WP, KEGG, BP","BP, WP","BP, KEGG, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, WP",,,"KEGG, BP"
RPS6KB1,"WP, KEGG, BP","BP, KEGG, WP","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",BP,"BP, WP","BP, WP"
RPTOR,"WP, BP, KEGG","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, WP","KEGG, BP, WP","KEGG, BP, WP",,KEGG,"KEGG, BP, WP","KEGG, BP, WP",,WP,WP
RXRA,"WP, KEGG, BP","KEGG, BP, WP","KEGG, BP, WP",WP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",,"KEGG, WP","KEGG, BP, WP","BP, KEGG, WP","KEGG, BP, WP",,"KEGG, WP"
SCD,"WP, KEGG, BP","BP, KEGG","BP, WP","BP, WP","BP, WP","KEGG, BP, WP","KEGG, WP",BP,BP,"KEGG, BP, WP","KEGG, BP, WP","KEGG, BP, WP",BP,
SHC1,"WP, BP","BP, WP","KEGG, BP, WP","BP, WP","BP, WP","BP, WP","BP, WP",BP,BP,"BP, WP","BP, WP",BP,BP,"BP, WP"
SHC2,"WP, KEGG, BP","KEGG, BP, WP","BP, WP",WP,"BP, WP","KEGG, BP, WP","KEGG, BP, WP",,,"KEGG, BP, WP",,,BP,"KEGG, WP"
SLCO1C1,"WP, BP, KEGG","KEGG, BP","KEGG, BP, WP",,,"KEGG, BP, WP","BP, WP",,,WP,,,,
